1000;50;9.46046E+84;1013760
1000;100;6.3851E+139;613120
1000;150;1.3432E+182;2170880
1000;200;6.6172E+215;1815893
1000;250;4.8228E+242;926293
1000;300;5.4283E+263;709973
1000;350;4.0253E+279;1208320
1000;400;4.9653E+290;1379414
1000;450;1.8151E+297;1402880
1000;500;2.7029E+299;1341866
1000;550;1.8151E+297;1029120
1000;600;4.9653E+290;962987
1000;650;4.0253E+279;717654
1000;700;5.4283E+263;604160
1000;750;4.82E+242;525227
1000;800;6.6172E+215;486827
1000;850;1.3432E+182;365653
1000;900;6.3851E+139;203094
1000;950;9.46E+84;68266
1000;1000;1;1707
