30;0;1;49493;
30;1;30;190720;
30;2;435;1163520;
30;3;4060;4623360;
30;4;27405;12258560;
30;5;142506;32883627;
30;6;593775;108826453;
30;7;2035800;275654827;
30;8;5852925;746673920;
30;9;14307150;1575406934;
30;10;30045015;3081229227;
30;11;54627300;5652751787;
30;12;86493225;8989829120;
30;13;119759850;12735771307;
30;14;145422675;15754095787;
30;15;155117520;16649754453;
30;16;145422675;15976884907;
30;17;119759850;13593547946;
30;18;86493225;9550251093;
30;19;54627300;6078723413;
30;20;30045015;3471279787;
30;21;14307150;1676535893;
30;22;5852925;699296854;
30;23;2035800;248508160;
30;24;593775;69442134;
30;25;142506;17754453;
30;26;27405;4774400;
30;27;4060;758613;
30;28;435;77654;
30;29;30;6400;
30;30;1;1707;
